,AED,INR,1/6/18 10:08,1000
465,AED,,,
466,AED,,,
467,AED,,,
468,AED,,,
469,AED,,,
470,AED,,,
471,AED,,,
472,AED,,,
473,AED,,,
474,AED,,,
475,AED,,,
476,AED,,,
477,AED,,,
478,AED,,,
479,AED,,,
480,AED,,,
481,AED,,,
482,AED,,,
483,AED,,,
484,AED,,,
485,AED,,,
486,AED,,,
487,AED,,,
488,AED,,,
489,AED,,,
490,AED,,,
491,AED,,,
492,AED,,,
493,AED,,,
494,AED,,,
495,AED,,,
496,AED,,,
497,AED,,,
498,AED,,,
499,AED,,,
500,AED,,,
501,AED,,,
502,AED,,,
503,AED,,,
504,AED,,,
505,AED,,,
506,AED,,,
507,AED,,,
508,AED,,,
509,AED,,,
510,AED,,,
511,AED,,,
512,AED,,,
513,AED,,,
514,AED,,,
515,AED,,,
516,AED,,,
517,AED,,,
518,AED,,,
519,AED,,,
520,AED,,,
521,AED,,,
522,AED,,,
523,AED,,,
524,AED,,,
525,AED,,,
526,AED,,,
527,AED,,,
528,AED,,,
529,AED,,,
530,AED,,,
531,AED,,,
532,AED,,,
533,AED,,,
534,AED,,,
535,AED,,,
536,AED,,,
537,AED,,,
538,AED,,,
539,AED,,,
540,AED,,,
541,AED,,,
542,AED,,,
543,AED,,,
544,AED,,,
545,AED,,,
546,AED,,,
547,AED,,,
548,AED,,,
549,AED,,,
550,AED,,,
551,AED,,,
552,AED,,,
553,AED,,,
554,AED,,,
555,AED,,,
556,AED,,,
557,AED,,,
558,AED,,,
559,AED,,,
560,AED,,,
561,AED,,,
562,AED,,,
563,AED,,,
564,AED,,,
565,AED,,,
566,AED,,,
567,AED,,,
568,AED,,,
569,AED,,,
570,AED,,,
571,AED,,,
572,AED,,,
573,AED,,,
574,AED,,,
575,AED,,,
576,AED,,,
577,AED,,,
578,AED,,,
579,AED,,,
580,AED,,,
581,AED,,,
582,AED,,,
583,AED,,,
584,AED,,,
585,AED,,,
586,AED,,,
587,AED,,,
588,AED,,,
589,AED,,,
590,AED,,,
591,AED,,,
592,AED,,,
593,AED,,,
594,AED,,,
595,AED,,,
596,AED,,,
597,AED,,,
598,AED,,,
599,AED,,,
600,AED,,,
601,AED,,,
602,AED,,,
603,AED,,,
604,AED,,,
605,AED,,,
606,AED,,,
607,AED,,,
608,AED,,,
609,AED,,,
610,AED,,,
611,AED,,,
612,AED,,,
613,AED,,,
614,AED,,,
615,AED,,,
616,AED,,,
617,AED,,,
618,AED,,,
619,AED,,,
620,AED,,,
621,AED,,,
622,AED,,,
623,AED,,,
624,AED,,,
625,AED,,,
626,AED,,,
627,AED,,,
628,AED,,,
629,AED,,,
630,AED,,,
631,AED,,,
632,AED,,,
633,AED,,,
634,AED,,,
635,AED,,,
636,AED,,,
637,AED,,,
638,AED,,,
639,AED,,,
640,AED,,,
641,AED,,,
642,AED,,,
643,AED,,,
644,AED,,,
645,AED,,,
646,AED,,,
647,AED,,,
648,AED,,,
649,AED,,,
650,AED,,,
651,AED,,,
652,AED,,,
653,AED,,,
654,AED,,,
655,AED,,,
656,AED,,,
657,AED,,,
658,AED,,,
659,AED,,,
660,AED,,,
661,AED,,,
662,AED,,,
663,AED,,,
664,AED,,,
665,AED,,,
666,AED,,,
667,AED,,,
668,AED,,,
669,AED,,,
670,AED,,,
671,AED,,,
672,AED,,,
673,AED,,,
674,AED,,,
675,AED,,,
676,AED,,,
677,AED,,,
678,AED,,,
679,AED,,,
680,AED,,,
681,AED,,,
682,AED,,,
683,AED,,,
684,AED,,,
685,AED,,,
686,AED,,,
687,AED,,,
688,AED,,,
689,AED,,,
690,AED,,,
691,AED,,,
692,AED,,,
693,AED,,,
694,AED,,,
695,AED,,,
696,AED,,,
697,AED,,,
698,AED,,,
699,AED,,,
700,AED,,,
701,AED,,,
702,AED,,,
703,AED,,,
704,AED,,,
705,AED,,,
706,AED,,,
707,AED,,,
708,AED,,,
709,AED,,,
710,AED,,,
711,AED,,,
712,AED,,,
713,AED,,,
714,AED,,,
715,AED,,,
716,AED,,,
717,AED,,,
718,AED,,,
719,AED,,,
720,AED,,,
721,AED,,,
722,AED,,,
723,AED,,,
724,AED,,,
725,AED,,,
726,AED,,,
727,AED,,,
728,AED,,,
729,AED,,,
730,AED,,,
731,AED,,,
732,AED,,,
733,AED,,,
734,AED,,,
735,AED,,,
736,AED,,,
737,AED,,,
738,AED,,,
739,AED,,,
740,AED,,,
741,AED,,,
742,AED,,,
743,AED,,,
744,AED,,,
745,AED,,,
746,AED,,,
747,AED,,,
748,AED,,,
749,AED,,,
750,AED,,,
751,AED,,,
752,AED,,,
753,AED,,,
754,AED,,,
755,AED,,,
756,AED,,,
757,AED,,,
758,AED,,,
759,AED,,,
760,AED,,,
761,AED,,,
762,AED,,,
763,AED,,,
764,AED,,,
765,AED,,,
766,AED,,,
767,AED,,,
768,AED,,,
769,AED,,,
770,AED,,,
771,AED,,,
772,AED,,,
773,AED,,,
774,AED,,,
775,AED,,,
776,AED,,,
777,AED,,,
778,AED,,,
779,AED,,,
780,AED,,,
781,AED,,,
782,AED,,,
783,AED,,,
784,AED,,,
785,AED,,,
786,AED,,,
787,AED,,,
788,AED,,,
789,AED,,,
790,AED,,,
791,AED,,,
792,AED,,,
793,AED,,,
794,AED,,,
795,AED,,,
796,AED,,,
797,AED,,,
798,AED,,,
799,AED,,,
800,AED,,,
801,AED,,,
802,AED,,,
803,AED,,,
804,AED,,,
805,AED,,,
806,AED,,,
807,AED,,,
808,AED,,,
809,AED,,,
810,AED,,,
811,AED,,,
812,AED,,,
813,AED,,,
814,AED,,,
815,AED,,,
816,AED,,,
817,AED,,,
818,AED,,,
819,AED,,,
820,AED,,,
821,AED,,,
822,AED,,,
823,AED,,,
824,AED,,,
825,AED,,,
826,AED,,,
827,AED,,,
828,AED,,,
829,AED,,,
830,AED,,,
831,AED,,,
832,AED,,,
833,AED,,,
834,AED,,,
835,AED,,,
836,AED,,,
837,AED,,,
838,AED,,,
839,AED,,,
840,AED,,,
841,AED,,,
842,AED,,,
843,AED,,,
844,AED,,,
845,AED,,,
846,AED,,,
847,AED,,,
848,AED,,,
849,AED,,,
850,AED,,,
851,AED,,,
852,AED,,,
853,AED,,,
854,AED,,,
855,AED,,,
856,AED,,,
857,AED,,,
858,AED,,,
859,AED,,,
860,AED,,,
861,AED,,,
862,AED,,,
863,AED,,,
864,AED,,,
865,AED,,,
866,AED,,,
867,AED,,,
868,AED,,,
869,AED,,,
870,AED,,,
871,AED,,,
872,AED,,,
873,AED,,,
874,AED,,,
875,AED,,,
876,AED,,,
877,AED,,,
878,AED,,,
879,AED,,,
880,AED,,,
881,AED,,,
882,AED,,,
883,AED,,,
884,AED,,,
885,AED,,,
886,AED,,,
887,AED,,,
888,AED,,,
889,AED,,,
890,AED,,,
891,AED,,,
892,AED,,,
893,AED,,,
894,AED,,,
895,AED,,,
896,AED,,,
897,AED,,,
898,AED,,,
899,AED,,,
900,AED,,,
901,AED,,,
902,AED,,,
903,AED,,,
904,AED,,,
905,AED,,,
906,AED,,,
907,AED,,,
908,AED,,,
909,AED,,,
910,AED,,,
911,AED,,,
912,AED,,,
913,AED,,,
914,AED,,,
915,AED,,,
916,AED,,,
917,AED,,,
918,AED,,,
919,AED,,,
920,AED,,,
921,AED,,,
922,AED,,,
923,AED,,,
924,AED,,,
925,AED,,,
926,AED,,,
927,AED,,,
928,AED,,,
929,AED,,,
930,AED,,,
931,AED,,,
932,AED,,,
933,AED,,,
934,AED,,,
935,AED,,,
936,AED,,,
937,AED,,,
938,AED,,,
939,AED,,,
940,AED,,,
941,AED,,,
942,AED,,,
943,AED,,,
944,AED,,,
945,AED,,,
946,AED,,,
947,AED,,,
948,AED,,,
949,AED,,,
950,AED,,,
951,AED,,,
952,AED,,,
953,AED,,,
954,AED,,,
955,AED,,,
956,AED,,,
957,AED,,,
958,AED,,,
959,AED,,,
960,AED,,,
961,AED,,,
962,AED,,,
963,AED,,,
964,AED,,,
965,AED,,,
966,AED,,,
967,AED,,,
968,AED,,,
969,AED,,,
970,AED,,,
971,AED,,,
972,AED,,,
973,AED,,,
974,AED,,,
975,AED,,,
976,AED,,,
977,AED,,,
978,AED,,,
979,AED,,,
980,AED,,,
981,AED,,,
982,AED,,,
983,AED,,,
984,AED,,,
985,AED,,,
986,AED,,,
987,AED,,,
988,AED,,,
989,AED,,,
990,AED,,,
991,AED,,,
992,AED,,,
993,AED,,,
994,AED,,,
995,AED,,,
996,AED,,,
997,AED,,,
998,AED,,,
999,AED,,,
1000,AED,,,
1001,AED,,,
1002,AED,,,
1003,AED,,,
1004,AED,,,
1005,AED,,,
1006,AED,,,
1007,AED,,,
1008,AED,,,
1009,AED,,,
1010,AED,,,
1011,AED,,,
1012,AED,,,
1013,AED,,,
1014,AED,,,
1015,AED,,,
1016,AED,,,
1017,AED,,,
1018,AED,,,
1019,AED,,,
1020,AED,,,
1021,AED,,,
1022,AED,,,
1023,AED,,,
1024,AED,,,
1025,AED,,,
1026,AED,,,
1027,AED,,,
1028,AED,,,
1029,AED,,,
1030,AED,,,
1031,AED,,,
1032,AED,,,
1033,AED,,,
1034,AED,,,
1035,AED,,,
1036,AED,,,
1037,AED,,,
1038,AED,,,
1039,AED,,,
1040,AED,,,
1041,AED,,,
1042,AED,,,
1043,AED,,,
1044,AED,,,
1045,AED,,,
1046,AED,,,
1047,AED,,,
1048,AED,,,
1049,AED,,,
1050,AED,,,
1051,AED,,,
1052,AED,,,
1053,AED,,,
1054,AED,,,
1055,AED,,,
1056,AED,,,
1057,AED,,,
1058,AED,,,
1059,AED,,,
1060,AED,,,
1061,AED,,,
1062,AED,,,
1063,AED,,,
1064,AED,,,
1065,AED,,,
1066,AED,,,
1067,AED,,,
1068,AED,,,
1069,AED,,,
1070,AED,,,
1071,AED,,,
1072,AED,,,
1073,AED,,,
1074,AED,,,
1075,AED,,,
1076,AED,,,
1077,AED,,,
1078,AED,,,
1079,AED,,,
1080,AED,,,
1081,AED,,,
1082,AED,,,
1083,AED,,,
1084,AED,,,
1085,AED,,,
1086,AED,,,
1087,AED,,,
1088,AED,,,
1089,AED,,,
1090,AED,,,
1091,AED,,,
1092,AED,,,
1093,AED,,,
1094,AED,,,
1095,AED,,,
1096,AED,,,
1097,AED,,,
1098,AED,,,
1099,AED,,,
1100,AED,,,
1101,AED,,,
1102,AED,,,
1103,AED,,,
1104,AED,,,
1105,AED,,,
1106,AED,,,
1107,AED,,,
1108,AED,,,
1109,AED,,,
1110,AED,,,
1111,AED,,,
1112,AED,,,
1113,AED,,,
1114,AED,,,
1115,AED,,,
1116,AED,,,
1117,AED,,,
1118,AED,,,
1119,AED,,,
1120,AED,,,
1121,AED,,,
1122,AED,,,
1123,AED,,,
1124,AED,,,
1125,AED,,,
1126,AED,,,
1127,AED,,,
1128,AED,,,
1129,AED,,,
1130,AED,,,
1131,AED,,,
1132,AED,,,
1133,AED,,,
1134,AED,,,
1135,AED,,,
1136,AED,,,
1137,AED,,,
1138,AED,,,
1139,AED,,,
1140,AED,,,
1141,AED,,,
1142,AED,,,
1143,AED,,,
1144,AED,,,
1145,AED,,,
1146,AED,,,
1147,AED,,,
1148,AED,,,
1149,AED,,,
1150,AED,,,
1151,AED,,,
1152,AED,,,
1153,AED,,,
1154,AED,,,
1155,AED,,,
1156,AED,,,
1157,AED,,,
1158,AED,,,
1159,AED,,,
1160,AED,,,
1161,AED,,,
1162,AED,,,
1163,AED,,,
1164,AED,,,
1165,AED,,,
1166,AED,,,
1167,AED,,,
1168,AED,,,
1169,AED,,,
1170,AED,,,
1171,AED,,,
1172,AED,,,
1173,AED,,,
1174,AED,,,
1175,AED,,,
1176,AED,,,
1177,AED,,,
1178,AED,,,
1179,AED,,,
1180,AED,,,
1181,AED,,,
1182,AED,,,
1183,AED,,,
1184,AED,,,
1185,AED,,,
1186,AED,,,
1187,AED,,,
1188,AED,,,
1189,AED,,,
1190,AED,,,
1191,AED,,,
1192,AED,,,
1193,AED,,,
1194,AED,,,
1195,AED,,,
1196,AED,,,
1197,AED,,,
1198,AED,,,
1199,AED,,,
1200,AED,,,
1201,AED,,,
1202,AED,,,
1203,AED,,,
1204,AED,,,
1205,AED,,,
1206,AED,,,
1207,AED,,,
1208,AED,,,
1209,AED,,,
1210,AED,,,
1211,AED,,,
1212,AED,,,
1213,AED,,,
1214,AED,,,
1215,AED,,,
1216,AED,,,
1217,AED,,,
1218,AED,,,
1219,AED,,,
1220,AED,,,
1221,AED,,,
1222,AED,,,
1223,AED,,,
1224,AED,,,
1225,AED,,,
1226,AED,,,
1227,AED,,,
1228,AED,,,
1229,AED,,,
1230,AED,,,
1231,AED,,,
1232,AED,,,
1233,AED,,,
1234,AED,,,
1235,AED,,,
1236,AED,,,
1237,AED,,,
1238,AED,,,
1239,AED,,,
1240,AED,,,
1241,AED,,,
1242,AED,,,
1243,AED,,,
1244,AED,,,
1245,AED,,,
1246,AED,,,
1247,AED,,,
1248,AED,,,
1249,AED,,,
1250,AED,,,
1251,AED,,,
1252,AED,,,
1253,AED,,,
1254,AED,,,
1255,AED,,,
1256,AED,,,
1257,AED,,,
1258,AED,,,
1259,AED,,,
1260,AED,,,
1261,AED,,,
1262,AED,,,
1263,AED,,,
1264,AED,,,
1265,AED,,,
1266,AED,,,
1267,AED,,,
1268,AED,,,
1269,AED,,,
1270,AED,,,
1271,AED,,,
1272,AED,,,
1273,AED,,,
1274,AED,,,
1275,AED,,,
1276,AED,,,
1277,AED,,,
1278,AED,,,
1279,AED,,,
1280,AED,,,
1281,AED,,,
1282,AED,,,
1283,AED,,,
1284,AED,,,
1285,AED,,,
1286,AED,,,
1287,AED,,,
1288,AED,,,
1289,AED,,,
1290,AED,,,
1291,AED,,,
1292,AED,,,
1293,AED,,,
1294,AED,,,
1295,AED,,,
1296,AED,,,
1297,AED,,,
1298,AED,,,
1299,AED,,,
1300,AED,,,
1301,AED,,,
1302,AED,,,
1303,AED,,,
1304,AED,,,
1305,AED,,,
1306,AED,,,
1307,AED,,,
1308,AED,,,
1309,AED,,,
1310,AED,,,
1311,AED,,,
1312,AED,,,
1313,AED,,,
1314,AED,,,
1315,AED,,,
1316,AED,,,
1317,AED,,,
1318,AED,,,
1319,AED,,,
1320,AED,,,
1321,AED,,,
1322,AED,,,
1323,AED,,,
1324,AED,,,
1325,AED,,,
1326,AED,,,
1327,AED,,,
1328,AED,,,
1329,AED,,,
1330,AED,,,
1331,AED,,,
1332,AED,,,
1333,AED,,,
1334,AED,,,
1335,AED,,,
1336,AED,,,
1337,AED,,,
1338,AED,,,
1339,AED,,,
1340,AED,,,
1341,AED,,,
1342,AED,,,
1343,AED,,,
1344,AED,,,
1345,AED,,,
1346,AED,,,
1347,AED,,,
1348,AED,,,
1349,AED,,,
1350,AED,,,
1351,AED,,,
1352,AED,,,
1353,AED,,,
1354,AED,,,
1355,AED,,,
1356,AED,,,
1357,AED,,,
1358,AED,,,
1359,AED,,,
1360,AED,,,
1361,AED,,,
1362,AED,,,
1363,AED,,,
1364,AED,,,
1365,AED,,,
1366,AED,,,
1367,AED,,,
1368,AED,,,
1369,AED,,,
1370,AED,,,
1371,AED,,,
1372,AED,,,
1373,AED,,,
1374,AED,,,
1375,AED,,,
1376,AED,,,
1377,AED,,,
1378,AED,,,
1379,AED,,,
1380,AED,,,
1381,AED,,,
1382,AED,,,
1383,AED,,,
1384,AED,,,
1385,AED,,,
1386,AED,,,
1387,AED,,,
1388,AED,,,
1389,AED,,,
1390,AED,,,
1391,AED,,,
1392,AED,,,
1393,AED,,,
1394,AED,,,
1395,AED,,,
1396,AED,,,
1397,AED,,,
1398,AED,,,
1399,AED,,,
1400,AED,,,
1401,AED,,,
1402,AED,,,
1403,AED,,,
1404,AED,,,
1405,AED,,,
1406,AED,,,
1407,AED,,,
1408,AED,,,
1409,AED,,,
1410,AED,,,
1411,AED,,,
1412,AED,,,
1413,AED,,,
1414,AED,,,
1415,AED,,,
1416,AED,,,
1417,AED,,,
1418,AED,,,
1419,AED,,,
1420,AED,,,
1421,AED,,,
1422,AED,,,
1423,AED,,,
1424,AED,,,
1425,AED,,,
1426,AED,,,
1427,AED,,,
1428,AED,,,
1429,AED,,,
1430,AED,,,
1431,AED,,,
1432,AED,,,
1433,AED,,,
1434,AED,,,
1435,AED,,,
1436,AED,,,
1437,AED,,,
1438,AED,,,
1439,AED,,,
1440,AED,,,
1441,AED,,,
1442,AED,,,
1443,AED,,,
1444,AED,,,
1445,AED,,,
1446,AED,,,
1447,AED,,,
1448,AED,,,
1449,AED,,,
1450,AED,,,
1451,AED,,,
1452,AED,,,
1453,AED,,,
1454,AED,,,
1455,AED,,,
1456,AED,,,
1457,AED,,,
1458,AED,,,
1459,AED,,,
1460,AED,,,
1461,AED,,,
1462,AED,,,
1463,AED,,,
1464,AED,,,
1465,AED,,,
1466,AED,,,
1467,AED,,,
1468,AED,,,
1469,AED,,,
1470,AED,,,
1471,AED,,,
1472,AED,,,
1473,AED,,,
1474,AED,,,
1475,AED,,,
1476,AED,,,
1477,AED,,,
1478,AED,,,
1479,AED,,,
1480,AED,,,
1481,AED,,,
1482,AED,,,
1483,AED,,,
1484,AED,,,
1485,AED,,,
1486,AED,,,
1487,AED,,,
1488,AED,,,
1489,AED,,,
1490,AED,,,
1491,AED,,,
1492,AED,,,
1493,AED,,,
1494,AED,,,
1495,AED,,,
1496,AED,,,
1497,AED,,,
1498,AED,,,
1499,AED,,,
1500,AED,,,
1501,AED,,,
1502,AED,,,
1503,AED,,,
1504,AED,,,
1505,AED,,,
1506,AED,,,
1507,AED,,,
1508,AED,,,
1509,AED,,,
1510,AED,,,
1511,AED,,,
1512,AED,,,
1513,AED,,,
1514,AED,,,
1515,AED,,,
1516,AED,,,
1517,AED,,,
1518,AED,,,
1519,AED,,,
1520,AED,,,
1521,AED,,,
1522,AED,,,
1523,AED,,,
1524,AED,,,
1525,AED,,,
1526,AED,,,
1527,AED,,,
1528,AED,,,
1529,AED,,,
1530,AED,,,
1531,AED,,,
1532,AED,,,
1533,AED,,,
1534,AED,,,
1535,AED,,,
1536,AED,,,
1537,AED,,,
1538,AED,,,
1539,AED,,,
1540,AED,,,
1541,AED,,,
1542,AED,,,
1543,AED,,,
1544,AED,,,
